Data extracted on 17/10/2023 20:30:05 from [ESTAT];;;;;;;;;;;;;;;;;;;;
Dataset: ;GDP and main components (output, expenditure and income) [nama_10_gdp$defaultview];;;;;;;;;;;;;;;;;;;
Last updated: ;12/10/2023 11:00;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Time frequency;;Annual;;;;;;;;;;;;;;;;;;
Unit of measure;;Current prices, million euro;;;;;;;;;;;;;;;;;;
National accounts indicator (ESA 2010);;Gross domestic product at market prices;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
TIME;2013;;2014;;2015;;2016;;2017;;2018;;2019;;2020;;2021;;2022;
Sweden;441.850,7;;438.833,9;;455.494,7;;466.266,5;;480.025,5;;470.673,1;;476.869,5;;480.556,4;;540.734,0;;562.526,3;
Iceland;12.132,9;;13.472,6;;15.795,3;;18.804,2;;21.917,7;;22.238,3;;22.043,3;;18.891,7;;21.647,7;;26.691,3;
Liechtenstein;4.812,4;;5.021,7;;5.649,1;;5.637,7;;5.734,6;;5.666,3;;5.750,1;;5.617,9;p;6.075,3;e;:;
Norway;395.856,8;;378.456,4;;349.756,7;;335.396,5;;356.288,5;;372.657,6;;365.130,5;;322.823,8;;414.394,9;;551.408,9;
Switzerland;531.729,1;;548.014,5;;625.532,7;;621.765,1;;615.776,3;;614.304,4;;644.443,2;;650.742,6;;687.568,4;p;777.804,6;p
United Kingdom;2.096.338,0;;2.311.080,2;;2.644.716,5;;2.434.119,2;;2.359.789,9;;2.420.897,2;;2.526.615,2;;:;;:;;:;
Bosnia and Herzegovina;13.691,8;;13.988,3;;14.791,1;;15.474,3;;16.260,5;;17.354,2;;18.296,5;;17.755,9;;19.995,1;;23.317,3;
Montenegro;3.362,5;;3.457,9;;3.654,5;;3.954,2;;4.299,1;;4.663,1;;4.950,7;;4.185,6;;4.955,1;;5.924,0;
North Macedonia;8.149,6;;8.562,0;;9.072,3;;9.656,5;;10.038,3;;10.744,0;;11.262,0;;10.851,7;;11.688,2;p;12.897,8;e
Albania;9.625,4;;9.968,6;;10.264,1;;10.719,9;;11.559,0;;12.828,1;;13.754,2;;13.310,4;;15.157,4;p;17.939,7;e
Serbia;36.426,7;;35.467,5;;35.740,2;;36.779,3;;39.235,3;;42.892,2;;46.005,4;;46.815,3;;53.345,3;;60.426,5;p
Türkiye;719.726,6;;707.000,8;;777.042,3;;785.618,9;;760.497,1;;658.963,4;;679.135,8;;626.785,3;;690.246,0;;862.309,6;
Kosovo (under United Nations Security Council Resolution 1244/99);5.071,3;;5.325,1;;5.674,4;;6.037,3;;6.356,5;;6.671,5;;7.056,2;;6.771,6;;7.957,9;;8.954,9;p
;;;;;;;;;;;;;;;;;;;;
Special value;;;;;;;;;;;;;;;;;;;;
:;not available;;;;;;;;;;;;;;;;;;;
Available flags:;;;;;;;;;;;;;;;;;;;;
e;estimated;;;;;;;;;;;;;;;;;;;
p;provisional;;;;;;;;;;;;;;;;;;;
