TIME;2000;;2001;;2002;;2003;;2004;;2005;;2006;;2007;;2008;;2009;;2010;;2011;;2012;;2013;;2014;;2015;;2016;;2017;;2018;;2019;;2020;;2021;;2022;
Poland;6.450;;6.530;;6.660;;6.900;;7.250;;7.510;;7.970;;8.540;;8.900;;9.060;;9.320;;9.790;;9.940;;10.030;;10.420;;10.890;;11.220;;11.800;;12.500;;13.070;;12.810;;13.770;;14.620;b
Portugal;16.230;;16.430;;16.470;;16.250;;16.500;;16.600;;16.840;;17.230;;17.260;;16.710;;16.990;;16.720;;16.110;;16.050;;16.260;;16.620;;17.010;;17.650;;18.190;;18.670;;17.100;;18.090;;19.310;p
Romania;3.780;;3.980;;4.350;;4.470;;4.970;b;5.230;;5.690;;6.190;;6.880;;6.550;;6.340;;6.650;;6.810;;6.860;;7.160;;7.420;;7.680;;8.360;;8.910;;9.300;;9.000;;9.600;;10.080;p
Slovenia;13.980;;14.410;;14.900;;15.330;;15.990;;16.570;;17.460;;18.570;;19.190;b;17.570;;17.750;;17.870;;17.360;;17.160;;17.620;;17.990;;18.550;;19.440;;20.240;;20.780;;19.770;;21.350;;21.860;
Slovakia;7.780;;8.060;;8.430;;8.890;;9.360;;9.970;;10.800;;11.960;;12.610;;11.890;;12.660;;13.080;;13.230;;13.300;;13.640;;14.340;;14.590;;15.000;;15.580;;15.960;;15.400;;16.200;;16.340;
Finland;30.510;;31.230;;31.690;;32.250;;33.440;;34.250;;35.490;;37.210;;37.330;;34.150;;35.080;;35.810;;35.140;;34.660;;34.390;;34.460;;35.330;;36.380;;36.740;;37.150;;36.220;;37.290;;37.780;
Sweden;33.960;;34.360;;35.000;;35.680;;37.080;;37.990;;39.540;;40.590;;40.100;;38.030;;39.950;;40.920;;40.380;;40.510;;41.180;;42.580;;42.920;;43.430;;43.760;;44.180;;42.910;;45.280;;46.250;
Iceland;28.570;;29.310;;29.220;;29.670;;31.620;;33.190;;34.310;;36.360;;36.230;;33.480;;32.650;;33.150;;33.330;;34.510;;34.710;;35.870;;37.610;;38.280;;39.090;;38.940;;35.550;;36.560;;38.230;
Norway;62.040;;63.000;;63.530;;63.750;;65.920;;67.240;;68.330;;69.600;;69.070;;66.880;;66.580;;66.440;;67.350;;67.220;;67.830;;68.390;;68.580;;69.720;;69.840;;70.150;;68.850;;71.150;;72.820;
Switzerland;51.950;;52.510;;52.100;;51.700;;52.750;;53.880;;55.730;;57.400;;58.310;;56.340;;57.730;;58.220;;58.290;;58.650;;59.300;;59.600;;60.170;;60.420;;61.690;;61.950;;60.190;;62.950;p;64.000;p
United Kingdom;27.130;;27.770;;28.250;;29.060;;29.560;;30.210;;30.810;;31.280;;30.940;;29.460;;29.830;;29.960;;30.190;;30.660;;31.290;;31.780;;32.060;;32.430;;32.640;;32.910;;:;;:;;:;
Montenegro;:;;:;;:;;:;;:;;:;;4.580;;4.890;;5.230;;4.920;;5.050;;5.200;;5.060;;5.230;;5.320;;5.500;;5.660;;5.920;;6.230;;6.480;;5.490;;6.230;;6.650;
North Macedonia;2.620;e;2.530;e;2.580;e;2.630;e;2.750;e;2.870;e;3.010;e;3.200;e;3.370;e;3.350;e;3.460;e;3.530;e;3.510;e;3.610;e;3.740;e;3.870;e;3.980;e;4.020;e;4.130;e;4.290;e;4.100;e;:;;:;
Albania;1.700;;1.850;;1.940;;2.060;;2.180;;2.310;;2.460;;2.630;;2.850;d;2.960;;3.090;;3.180;;3.230;;3.260;d;3.330;;3.410;;3.530;;3.670;;3.830;;3.920;;3.810;p;:;;:;
Serbia;2.650;;2.840;;3.020;;3.160;;3.460;;3.660;;3.860;;4.130;;4.380;;4.280;;4.330;;4.450;;4.440;;4.590;;4.540;;4.640;;4.820;;4.950;;5.200;;5.460;;5.440;;5.920;;6.230;p
Türkiye;6.130;;5.700;;5.990;;6.260;;6.790;;7.310;;7.720;;8.010;;7.980;;7.490;;8.000;;8.760;;9.070;;9.710;;10.050;;10.520;;10.730;;11.380;;11.570;;11.500;;11.600;;12.810;;13.380;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
