TIME;TIME;2012;2012;2012;2012;2012;2012;2012;2013;2013;2013;2013;2013;2013;2013;2014;2014;2014;2014;2014;2014;2014;2015;2015;2015;2015;2015;2015;2015;2016;2016;2016;2016;2016;2016;2016;2017;2017;2017;2017;2017;2017;2017;2018;2018;2018;2018;2018;2018;2018;2019;2019;2019;2019;2019;2019;2019;2020;2020;2020;2020;2020;2020;2020;2021;2021;2021;2021;2021;2021;2021
AIRPOL (Labels);AIRPOL (Labels);Carbon monoxide;Lead (Pb);Nitrogen oxides;Sulphur oxides;Ammonia;Particulates < 2.5µm;Particulates < 10µm;Carbon monoxide;Lead (Pb);Nitrogen oxides;Sulphur oxides;Ammonia;Particulates < 2.5µm;Particulates < 10µm;Carbon monoxide;Lead (Pb);Nitrogen oxides;Sulphur oxides;Ammonia;Particulates < 2.5µm;Particulates < 10µm;Carbon monoxide;Lead (Pb);Nitrogen oxides;Sulphur oxides;Ammonia;Particulates < 2.5µm;Particulates < 10µm;Carbon monoxide;Lead (Pb);Nitrogen oxides;Sulphur oxides;Ammonia;Particulates < 2.5µm;Particulates < 10µm;Carbon monoxide;Lead (Pb);Nitrogen oxides;Sulphur oxides;Ammonia;Particulates < 2.5µm;Particulates < 10µm;Carbon monoxide;Lead (Pb);Nitrogen oxides;Sulphur oxides;Ammonia;Particulates < 2.5µm;Particulates < 10µm;Carbon monoxide;Lead (Pb);Nitrogen oxides;Sulphur oxides;Ammonia;Particulates < 2.5µm;Particulates < 10µm;Carbon monoxide;Lead (Pb);Nitrogen oxides;Sulphur oxides;Ammonia;Particulates < 2.5µm;Particulates < 10µm;Carbon monoxide;Lead (Pb);Nitrogen oxides;Sulphur oxides;Ammonia;Particulates < 2.5µm;Particulates < 10µm
GEO (Labels);SRC_NFR (Labels);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
European Union - 27 countries (from 2020);Road transport: heavy duty vehicles and buses;452.393;4;1.503.938;1.108;1.642;28.422;28.422;439.740;3;1.393.218;1.093;1.786;25.092;25.092;414.270;3;1.288.785;1.085;1.930;22.878;22.878;386.917;4;1.192.008;1.068;2.160;20.808;20.808;352.911;4;1.093.474;1.130;2.376;19.115;19.115;323.672;4;1.020.024;1.146;2.636;17.903;17.903;285.585;4;906.122;1.162;2.902;15.115;15.115;255.818;4;818.805;1.185;3.079;13.595;13.595;215.138;4;690.250;1.107;2.977;11.330;11.330;202.644;4;650.409;1.179;3.258;10.457;10.457
European Union - 27 countries (from 2020);Road transport: mopeds & motorcycles;680.588;1;19.943;66;182;3.622;3.622;631.536;2;18.792;58;178;3.434;3.434;635.535;2;19.027;57;183;3.236;3.236;590.771;0;18.332;62;183;3.007;3.007;556.417;0;17.480;56;178;2.858;2.858;539.143;1;16.834;57;177;2.751;2.751;498.272;1;15.465;55;174;2.583;2.583;481.708;2;14.899;56;179;2.541;2.541;406.364;2;12.605;48;160;2.345;2.345;418.835;2;13.050;53;175;2.273;2.273
European Union - 27 countries (from 2020);Road transport: gasoline evaporation;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
European Union - 27 countries (from 2020);Road transport: automobile tyre and brake wear;:;203;:;:;:;33.763;64.497;:;200;:;:;:;33.294;63.577;:;209;:;:;:;34.505;66.017;:;212;:;:;:;35.099;67.117;:;212;:;:;:;35.620;67.994;:;216;:;:;:;36.304;69.284;:;221;:;:;:;37.054;70.719;:;222;:;:;:;37.330;71.227;:;196;:;:;:;33.029;63.179;:;211;:;:;:;35.787;68.229
European Union - 27 countries (from 2020);Road transport: automobile road abrasion;:;1;:;:;:;20.077;51.093;:;1;:;:;:;20.360;53.109;:;1;:;:;:;20.476;52.676;:;1;:;:;:;20.957;53.744;:;1;:;:;:;21.565;55.106;:;1;:;:;:;22.076;56.386;:;1;:;:;:;22.497;57.408;:;1;:;:;:;22.581;57.268;:;1;:;:;:;20.231;52.131;:;1;:;:;:;21.733;55.027
European Union - 27 countries (from 2020);Railways;17.275;1;79.075;634;19;7.086;13.037;15.877;1;73.005;570;19;6.699;12.461;14.516;1;65.093;574;17;6.713;12.681;14.320;0;63.204;427;18;6.761;12.880;13.656;1;59.724;428;18;6.598;12.610;13.697;0;57.842;424;16;6.463;12.424;13.371;1;55.238;401;15;6.594;12.694;12.849;1;53.432;334;16;6.603;12.776;11.228;0;47.647;276;14;6.136;11.753;11.380;0;48.603;273;15;5.974;11.540
European Union - 27 countries (from 2020);International maritime navigation;117.909;4;1.532.990;735.087;175;115.016;124.211;110.154;4;1.421.866;681.928;157;105.361;113.830;106.959;4;1.395.653;641.666;162;100.751;109.738;104.861;3;1.367.682;533.458;151;85.469;92.690;111.878;4;1.430.065;559.599;163;93.906;101.598;109.769;3;1.403.262;585.833;155;95.061;102.541;107.203;3;1.387.525;588.628;129;92.973;99.945;110.367;3;1.396.209;581.295;148;89.580;95.107;91.755;3;1.183.709;239.409;143;66.673;72.020;99.303;3;1.254.592;255.495;149;70.341;75.975
European Union - 27 countries (from 2020);International inland waterways;6.027;0;25.927;1.819;4;908;968;6.139;0;27.895;2.299;4;974;1.041;5.971;0;26.920;1.904;4;923;985;5.889;0;27.086;1.785;4;884;943;5.652;0;26.006;1.731;4;861;920;5.780;0;26.748;1.788;5;893;955;5.739;0;26.580;1.788;5;871;932;5.140;0;23.806;1.698;4;766;819;5.076;0;24.135;1.867;4;743;795;5.105;0;24.085;1.908;4;778;834
European Union - 27 countries (from 2020);National navigation (shipping);122.082;0;216.777;58.488;47;13.542;14.124;118.961;0;200.475;50.455;44;12.652;13.164;116.733;0;197.511;48.532;37;12.636;13.127;116.799;0;201.432;47.103;37;11.964;12.453;116.139;0;205.753;53.249;37;12.769;13.319;114.404;0;203.644;58.879;38;13.331;14.028;114.297;0;215.727;63.085;35;14.199;14.961;113.707;1;223.439;69.574;38;15.270;16.124;112.106;0;215.414;19.818;33;14.604;15.207;112.775;0;197.961;16.371;33;12.756;13.382
European Union - 27 countries (from 2020);National total for the entire territory (based on fuel sold);22.144.192;1.236;7.988.187;3.152.620;3.533.988;1.649.587;2.377.742;21.891.635;1.268;7.664.202;2.699.067;3.514.811;1.633.157;2.357.374;19.905.651;1.198;7.394.857;2.495.075;3.535.122;1.476.943;2.189.464;20.025.734;1.162;7.278.317;2.423.842;3.564.868;1.479.549;2.213.339;19.809.846;1.116;7.049.767;2.032.545;3.575.646;1.450.574;2.150.210;19.655.739;1.141;6.906.041;1.988.380;3.590.050;1.432.509;2.133.254;19.273.437;1.207;6.607.471;1.848.757;3.547.872;1.472.982;2.232.196;18.356.645;1.098;6.222.979;1.606.027;3.454.801;1.375.293;2.079.290;16.948.146;982;5.580.716;1.402.550;3.418.504;1.306.290;2.008.929;17.737.995;1.065;5.635.784;1.398.606;3.336.480;1.333.150;2.019.721
